Match,Teams,Result
2020/4/16 GRF VS HLE,Hanwha Life Esports,0
2020/4/16 LGD VS FPX,FunPlus Phoenix,2
2020/4/16 LGD VS FPX,LGD Gaming,0
2020/4/16 TES VS ES,eStar,0
2020/4/16 TES VS ES,Top Esports,2
2020/4/16 V5 VS BLG,Bilibili Gaming,2
2020/4/16 V5 VS BLG,Victory Five,0
2020/4/17 DMO VS JDG,Dominus Esports,0
2020/4/17 DMO VS JDG,JD Gaming,2
2020/4/17 EDG VS IG,EDward Gaming,0
2020/4/17 EDG VS IG,Invictus Gaming,2
2020/4/17 LNG VS WE,LNG Esports,2
2020/4/17 LNG VS WE,Team WE,1
2020/4/18 FPX VS RW,FunPlus Phoenix,2
2020/4/18 FPX VS RW,Rogue Warriors,1
2020/4/18 KT VS DWG,DAMWON Gaming,2
2020/4/18 KT VS DWG,KT Rolster,1
2020/4/18 RNG VS SN,Royal Never Give Up,1
2020/4/18 RNG VS SN,Suning,2
2020/4/18 VG VS V5,Vici Gaming,2
2020/4/18 VG VS V5,Victory Five,0
2020/4/19 IG VS LNG,Invictus Gaming,2
2020/4/19 IG VS LNG,LNG Esports,1
2020/4/19 LGD VS JDG,JD Gaming,2
2020/4/19 LGD VS JDG,LGD Gaming,0
2020/4/19 WE VS EDG,EDward Gaming,1
2020/4/19 WE VS EDG,Team WE,2
2020/4/2 AF VS SP,Afreeca Freecs,0
2020/4/2 AF VS SP,SeolHaeOne Prince,2
2020/4/2 DWG VS HLE,DAMWON Gaming,2
2020/4/2 DWG VS HLE,Hanwha Life Esports,0
2020/4/2 KT VS DRX,DRX,2
2020/4/2 KT VS DRX,KT Rolster,0
2020/4/2 LGD VS WE,LGD Gaming,2
2020/4/2 LGD VS WE,Team WE,1
2020/4/2 RW VS BLG,Bilibili Gaming,0
2020/4/2 RW VS BLG,Rogue Warriors,2
2020/4/2 SN VS TES,Suning,1
2020/4/2 SN VS TES,Top Esports,2
2020/4/20 DRX VS DWG,DAMWON Gaming,2
2020/4/20 DRX VS DWG,DRX,3
2020/4/20 FPX VS TES,FunPlus Phoenix,0
2020/4/20 FPX VS TES,Top Esports,2
2020/4/20 RW VS LGD,LGD Gaming,1
2020/4/20 RW VS LGD,Rogue Warriors,2
2020/4/20 WE VS OMG,Oh My God,1
2020/4/20 WE VS OMG,Team WE,2
2020/4/22 T1 VS DRX,DRX,1
2020/4/22 T1 VS DRX,T1,3
2020/4/22 WE VS ES,eStar,1
2020/4/22 WE VS ES,Team WE,3
2020/4/23 EDG VS RNG,EDward Gaming,3
2020/4/23 EDG VS RNG,Royal Never Give Up,1
2020/4/24 TES VS WE,Team WE,1
2020/4/24 TES VS WE,Top Esports,3
2020/4/25 FPX VS EDG,EDward Gaming,1
2020/4/25 FPX VS EDG,FunPlus Phoenix,3
2020/4/25 T1 VS GEN,Gen.G,0
2020/4/25 T1 VS GEN,T1,3
2020/4/26 IG VS TES,Invictus Gaming,1
2020/4/26 IG VS TES,Top Esports,3
2020/4/27 JDG VS FPX,FunPlus Phoenix,0
2020/4/27 JDG VS FPX,JD Gaming,3
2020/4/28 GRF VS SRB,Griffin,1
2020/4/28 GRF VS SRB,Seorabeol Gaming,2
2020/4/28 LSB VS DYN,SANDBOX Gaming,0
2020/4/28 LSB VS DYN,Team Dynamics,2
2020/4/29 DYN VS SRB,Seorabeol Gaming,0
2020/4/29 DYN VS SRB,Team Dynamics,2
2020/4/29 FPX VS IG,FunPlus Phoenix,3
2020/4/29 FPX VS IG,Invictus Gaming,0
2020/4/29 LSB VS GRF,Griffin,0
2020/4/29 LSB VS GRF,SANDBOX Gaming,2
2020/4/3 AF VS DWG,Afreeca Freecs,0
2020/4/3 AF VS DWG,DAMWON Gaming,2
2020/4/3 DMO VS EDG,Dominus Esports,0
2020/4/3 DMO VS EDG,EDward Gaming,2
2020/4/3 GEN VS LSB,Gen.G,2
2020/4/3 GEN VS LSB,SANDBOX Gaming,0
2020/4/3 GRF VS T1,Griffin,1
2020/4/3 GRF VS T1,T1,2
2020/4/3 IG VS V5,Invictus Gaming,2
2020/4/3 IG VS V5,Victory Five,0
2020/4/3 RNG VS ES,eStar,0
2020/4/3 RNG VS ES,Royal Never Give Up,2
2020/4/30 LSB VS SRB,SANDBOX Gaming,3
2020/4/30 LSB VS SRB,Seorabeol Gaming,0
2020/4/4 GEN VS DRX,DRX,2
2020/4/4 GEN VS DRX,Gen.G,0
2020/4/4 LSB VS HLE,Hanwha Life Esports,1
2020/4/4 LSB VS HLE,SANDBOX Gaming,2
2020/4/4 SP VS KT,KT Rolster,1
2020/4/4 SP VS KT,SeolHaeOne Prince,2
2020/4/5 DWG VS T1,DAMWON Gaming,2
2020/4/5 DWG VS T1,T1,0
2020/4/5 EDG VS BLG,Bilibili Gaming,1
2020/4/5 EDG VS BLG,EDward Gaming,2
2020/4/5 HLE VS AF,Afreeca Freecs,0
2020/4/5 HLE VS AF,Hanwha Life Esports,2
2020/4/5 JDG VS LNG,JD Gaming,2
2020/4/5 JDG VS LNG,LNG Esports,0
2020/4/5 RNG VS IG,Invictus Gaming,2
2020/4/5 RNG VS IG,Royal Never Give Up,1
